"Gene"	"Rank"	"PredictedEffect"	"Category_sm"	"Category_ab"
"IER3"	1	"Detrimental"	"Unknown"	"Predicted_Tractable_ab_Medium_to_low_confidence"
"SOCS3"	2	"Detrimental"	"Unknown"	"Predicted_Tractable_ab_Medium_to_low_confidence"
"NR4A2"	3	"Detrimental"	"Discovery_Precedence_sm"	"Unknown"
"BCL3"	4	"Detrimental"	"Discovery_Precedence_sm"	"Predicted_Tractable_ab_High_confidence"
"INHBA"	5	"Protective"	"Discovery_Precedence_sm"	"Clinical_Precedence_ab"
"NFKBIA"	6	"Detrimental"	"Discovery_Precedence_sm"	"Predicted_Tractable_ab_High_confidence"
"RCAN1"	7	"Detrimental"	"Unknown"	"Unknown"
"JUNB"	8	"Detrimental"	"Unknown"	"Unknown"
"COL6A2"	9	"Protective"	"Unknown"	"Predicted_Tractable_ab_High_confidence"
"MMP2"	10	"Protective"	"Clinical_Precedence_sm"	"Predicted_Tractable_ab_High_confidence"
"CCL7"	11	"Detrimental"	"Discovery_Precedence_sm"	"Predicted_Tractable_ab_High_confidence"
"ELN"	12	"Protective"	"Unknown"	"Predicted_Tractable_ab_High_confidence"
"COL4A1"	13	"Detrimental"	"Unknown"	"Predicted_Tractable_ab_High_confidence"
"MAP3K8"	14	"Detrimental"	"Clinical_Precedence_sm"	"Unknown"
"SPSB1"	15	"Detrimental"	"Unknown"	"Unknown"
"TIMP1"	16	"Detrimental"	"Unknown"	"Predicted_Tractable_ab_High_confidence"
"IL1R1"	17	"Detrimental"	"Discovery_Precedence_sm"	"Clinical_Precedence_ab"
"IFNAR2"	18	"Detrimental"	"Predicted_Tractable_sm"	"Predicted_Tractable_ab_High_confidence"
"PLAT"	19	"Protective"	"Clinical_Precedence_sm"	"Predicted_Tractable_ab_High_confidence"
"DUSP1"	20	"Detrimental"	"Discovery_Precedence_sm"	"Unknown"
